stage,config_id,params_json,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,best_iteration,best_val_aucpr,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
sampling,structurerank1_structure_d10_child1_sub0.85_col0.8,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.85, ""tree_method"": ""hist""}",2000,0.1,10,1,0.85,0.8,1.0,0.0,0,1,231,0.9854294745771428,2.0959399579987803,0.999356,0.999409,0.989521,0.984251,0.994274,0.989237,0.98543,0.986829,0.934996,0.922175,0.94559,0.933736
sampling,structurerank1_structure_d10_child1_sub0.85_col1.0,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.85, ""tree_method"": ""hist""}",2000,0.1,10,1,0.85,1.0,1.0,0.0,0,1,210,0.9855587229060295,1.9787922920004348,0.999163,0.999233,0.987727,0.981417,0.99347,0.987407,0.98556,0.986991,0.937958,0.925975,0.947663,0.936693
sampling,structurerank1_structure_d10_child1_sub1.0_col0.6,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,1.0,0.0,0,1,358,0.9856745454972021,2.832840209001006,0.999652,0.99968,0.992433,0.988354,0.996113,0.992218,0.985675,0.987132,0.93595,0.923778,0.945797,0.934658
sampling,structurerank1_structure_d10_child1_sub1.0_col0.8,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,1.0,0.0,0,1,288,0.9856617481156817,2.3920216250007797,0.999282,0.99934,0.988204,0.982867,0.992952,0.987884,0.985663,0.987185,0.937356,0.92675,0.945383,0.935974
sampling,structurerank1_structure_d10_child1_sub1.0_col1.0,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,1.0,1.0,0.0,0,1,306,0.985501666876288,2.5210033750008733,0.999442,0.999488,0.990073,0.985388,0.994248,0.989798,0.985502,0.986954,0.934896,0.922245,0.945279,0.93362
sampling,structurerank2_structure_d8_child1_sub0.7_col0.6,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.7, ""tree_method"": ""hist""}",2000,0.1,8,1,0.7,0.6,1.0,0.0,0,1,336,0.9850324326816687,2.373080374996789,0.998794,0.998895,0.984527,0.978165,0.990154,0.984123,0.985033,0.986552,0.933993,0.921932,0.943621,0.93265
sampling,structurerank2_structure_d8_child1_sub0.7_col0.8,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.7, ""tree_method"": ""hist""}",2000,0.1,8,1,0.7,0.8,1.0,0.0,0,1,410,0.98518563732214,2.860733582998364,0.999444,0.999492,0.99035,0.985471,0.99474,0.990084,0.985186,0.986688,0.933842,0.921311,0.944036,0.932535
sampling,structurerank2_structure_d8_child1_sub0.7_col1.0,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.7, ""tree_method"": ""hist""}",2000,0.1,8,1,0.7,1.0,1.0,0.0,0,1,367,0.9850466753117804,2.6141131250005856,0.99921,0.999279,0.988555,0.982805,0.993755,0.98825,0.985048,0.986538,0.933541,0.923061,0.941237,0.932061
sampling,structurerank2_structure_d8_child1_sub0.85_col0.6,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.85, ""tree_method"": ""hist""}",2000,0.1,8,1,0.85,0.6,1.0,0.0,0,1,340,0.9851878868437516,2.3494910419976804,0.998689,0.998804,0.98425,0.977444,0.990335,0.983847,0.985189,0.986732,0.934294,0.923264,0.942688,0.932875
sampling,structurerank2_structure_d8_child1_sub0.85_col0.8,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.85, ""tree_method"": ""hist""}",2000,0.1,8,1,0.85,0.8,1.0,0.0,0,1,412,0.9852771038517314,2.8302327919991512,0.99931,0.999375,0.989509,0.984151,0.994351,0.989225,0.985278,0.986771,0.935298,0.923077,0.945176,0.933996
